        國文  數學  英文
龔一宇   66    68    92
石一辰   28    42    91
楊一賢   81    30    88
林一甫   44    68    78
林一佑  100    44    85
俞一邑   99    56    69
林一鴻   91    61    88
龔一慈   41    41    77
周一緯   82    29    44
謝一宣   61    53    78
劉一瑋   81    39    64
吳一妘   53    48    87
林一華   47    28    87
鄧一偉   80    27    72
戴一琪   81    87    85
蔡一萱   91    37    99
阮一擇   87    46   100
洪一竣   64    56    86
邱一云   32    35    58
林一恩   77    68    68
林一宸   86    96    93
陳一崴   90   100    73
王一琁   70    88    84
陳一筑   48    87    86
李一瑄   69    84    94
郝一恩   48    56    95
陳一億   67    64    91
李一紳   58    35    82
林一劭   87    53    72
朱一宇   98    48    62
